,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
215,"[-8, -20, -17, -17, -7, 2, 18, 18, 4, 18, 8, -18]","[18, 18, 8, 2, -17, 4, -8, -18, -7, 18, -17, -20]",-20,-60,Violated
216,"[7, -13, 5]","[-13, 7, 5]",5,15,Not-violated
217,"[9, 4, -14, -15, -4, -6]","[-14, 9, -6, -15, 4, -4]",-28,-84,Violated
218,"[-2, 18, 19, -2, 18, -10, 19, 6, -17]","[-17, -2, 6, 18, -2, -10, 19, 19, 18]",62,186,Not-violated
219,"[-17, -14, 13, -1, -6, 3, -4, 17, 12, 11, -5, 15, 11]","[-14, -17, 15, 11, 13, 12, 11, 17, -6, -1, -5, 3, -4]",-36,-108,Not-violated
220,"[9, -17, -11, 1, -8, -9, 1, -15, 12]","[1, -17, -15, -9, -8, 12, 1, 9, -11]",-7,-21,Violated
221,"[6, 14, -12, 1, 5, -2, -1, -6, 8]","[6, -12, -1, 14, 8, -6, 1, 5, -2]",19,57,Not-violated
222,"[-17, 4, 2, 1, -9, 5, 15, -7, 3, -12]","[-12, 2, 4, -9, 15, 1, 5, -17, -7, 3]",6,18,Not-violated
223,"[2, -16, 7, -12, 3, -12, 1, 19, 14]","[14, 7, 3, -12, 19, 1, -12, -16, 2]",7,21,Violated
224,"[-18, -15, -13]","[-15, -18, -13]",-37,-111,Violated
225,"[-3, 9, -11, 4, 15, -15, -8, 12]","[9, -3, 12, -15, 4, 15, -11, -8]",10,30,Not-violated
226,"[14, -7, -18, 18, 8, -1, -18, 17, 13, -18, -15, 13]","[-1, -18, 13, -7, -15, 8, 17, -18, 18, -18, 13, 14]",9,27,Violated
227,"[10, -10, -19, 1, -18, -18, 9, 2, 14, -20, -1, 8]","[-1, -10, -18, 2, 9, 10, 8, -18, 14, 1, -19, -20]",-43,-129,Not-violated
228,"[15, 10, 16]","[15, 16, 10]",-19,-57,Violated
229,"[14, -15, 8, 7, 6, -7, -5, 10, -11, -16, 5]","[7, 6, -5, -16, -15, 14, 10, -7, -11, 5, 8]",26,78,Not-violated
230,"[-16, -20, 2, -2, -11, 1]","[1, -11, -16, -2, -20, 2]",-32,-96,Violated
231,"[-5, 8, 0, -11, 4, -12]","[-11, 0, 8, -12, 4, -5]",7,21,Not-violated
232,"[-7, 18, -3, -18, 17, 2, -19, 17, 13]","[-19, 18, 17, -3, 17, 13, -7, 2, -18]",-36,-108,Not-violated
233,"[2, 9, -1, -15, 8, 15, 1, -7, -4, 1]","[-15, 2, -4, 15, 8, -7, 9, -1, 1, 1]",-33,-99,Violated
234,"[-3, 17, -14, 16, 10, -5, 16, -12, 4]","[10, -14, -3, 4, -5, 17, 16, 16, -12]",11,33,Not-violated
235,"[-15, 13, 14, 3, 1, -18, -9, 1, -16, -5]","[1, 3, -5, 13, -16, 14, -18, 1, -15, -9]",-71,-213,Not-violated
236,"[-9, -12, 18, -9, 9, -19, 15, -2]","[-9, 15, 9, -9, 18, -12, -19, -2]",29,87,Not-violated
237,"[-9, -11, 17, 16, -11, 17, 19, -18, -14, 19]","[-18, 16, -14, 19, 19, -11, 17, -11, -9, 17]",38,114,Not-violated
238,"[-12, -18, -2, -15]","[-15, -18, -2, -12]",35,105,Violated
239,"[-8, -7, 4, 0, 4, -5, 6, 10, -17, -12, -7, -10, -1, -1]","[-8, 6, -7, -1, -5, 10, -1, -7, -17, -10, 4, -12, 0, 4]",-10,-30,Violated
240,"[-14, -5, -13, 17, -2, -4, -14, 9, -9, 17, 2, 19, 15, 10]","[-2, 17, 17, -14, 2, 15, -5, -9, 10, -4, -14, 9, 19, -13]",17,51,Not-violated
241,"[10, -11, 18, -1, 8, 19, -13]","[-13, 10, 18, 8, 19, -1, -11]",-20,-60,Violated
242,"[17, 1, 9, -6]","[1, 17, -6, 9]",-16,-48,Violated
243,"[-13, 12, 3, 17, -3, 19]","[12, -3, 3, 19, 17, -13]",11,33,Not-violated
244,"[16, 15, -11, 16, 15, 6, -11, -5, 3, 11, -14, -18]","[16, -11, 16, -11, -14, 3, 15, -18, 15, 6, 11, -5]",15,45,Violated
245,"[-13, -18, 19, 1, -16, 6, -11, 19, -20, 1, 11, -3, -3, 3]","[19, -20, -3, -13, -3, 19, 6, 3, -16, 1, -18, 1, 11, -11]",50,150,Not-violated
246,"[-6, 8, 0]","[8, -6, 0]",-5,-15,Not-violated
247,"[1, 16, 6, -15, -4, -8, -8]","[1, -8, 6, -4, -8, 16, -15]",53,159,Not-violated
248,"[13, -11, 13, -4, -19, -18, 16, -16, -17, -11, -13, 14, -7, 9]","[-4, 16, -16, 13, 14, -19, 13, -11, -7, 9, -18, -11, -13, -17]",-50,-150,Violated
249,"[-18, -3, 2, -5]","[-5, -3, 2, -18]",-19,-57,Not-violated
250,"[-13, -2, -1, 13, -3, -13]","[13, -13, -1, -2, -3, -13]",-42,-126,Not-violated
251,"[-11, -1, -14, -1, 1, -14, -11, 8, -14, -9, 9, -19, -5]","[-9, -11, -14, -19, -11, 8, 9, -5, -14, 1, -14, -1, -1]",-65,-195,Violated
252,"[16, 15, 16, 1, 6, -16, 3, 13, -11]","[15, 1, 6, -16, 13, 16, -11, 16, 3]",-25,-75,Violated
253,"[-11, 4, -5]","[-11, -5, 4]",-22,-66,Violated
254,"[8, -16, 12, -8, 11, 11, 3, 7, -1, -15]","[12, -15, -16, -1, 11, 11, 7, 3, -8, 8]",-33,-99,Violated
255,"[-11, 8, -3, -12, 7, 2, 11, 9, 9, 10, 11, -20]","[11, 9, 7, 8, -11, -3, 9, -20, 11, 2, -12, 10]",30,90,Not-violated
256,"[-9, -15, 4]","[-15, 4, -9]",-33,-99,Not-violated
257,"[8, 6, -3, 17, -15, -5]","[8, -3, 6, -15, -5, 17]",17,51,Violated
258,"[16, -16, -13, 2, -18, 6, -12, -4, 7, 5, 16]","[16, -18, 16, 2, 5, -12, -16, -13, 7, 6, -4]",52,156,Not-violated
259,"[-20, 7, -20, -1, 3, -2]","[3, -20, 7, -20, -2, -1]",-19,-57,Not-violated
260,"[12, -6, -1, 11, -16, -5, 9, 6, -5, -10, -1]","[-5, -6, 9, -5, 11, 6, 12, -10, -16, -1, -1]",-57,-171,Not-violated
261,"[-17, 11, 9, -6, 16, -8, 17, -16, -5, 18, -10]","[-6, -5, 18, -16, -10, -17, 17, 9, 16, -8, 11]",11,33,Not-violated
262,"[-15, -6, -19, 16, -7, -14, 7, -12, 10, -11, -19, 19, 7, 19]","[10, -15, 16, -11, -14, 7, -19, -12, 19, -6, -7, 7, -19, 19]",-59,-177,Not-violated
263,"[14, 14, 13, -4, 10, 19]","[10, 19, -4, 14, 13, 14]",15,45,Violated
264,"[0, -9, -3, -6, -14, -2]","[-9, -6, -14, 0, -3, -2]",-92,-276,Violated
265,"[-8, 14, -17, -20, 13]","[13, -20, 14, -8, -17]",-20,-60,Violated
266,"[-18, -4, -14, -12, -7, 19, -19, 17, -14, 16, -10, 12, 6, -15]","[-7, -15, 16, 19, -19, -10, 17, -14, -4, -14, -18, 12, 6, -12]",46,138,Violated
267,"[3, 7, -2, 3, -12, -18, 7, 17, 7, 6, -14]","[3, 7, 3, 7, -14, -2, 7, -18, 17, -12, 6]",-11,-33,Violated
268,"[5, 16, 9, 16, 5, 3, -2, -15, 6, -20, 4, 4]","[5, -15, -20, 3, 6, 4, -2, 4, 9, 16, 5, 16]",1,3,Violated
269,"[8, 16, 13, -5, -6, 1, 17, -2, -14, 6, -2, -8, -8, -20]","[-2, -8, -2, -6, 6, 13, -8, 17, -20, 16, -5, -14, 1, 8]",17,51,Not-violated
270,"[14, -16, 9, 6, 1, 19, -17, -2, -4, 4, -17, 5, 11, -12]","[5, -2, 19, -12, 9, 14, -16, 4, -4, 11, -17, 1, 6, -17]",72,216,Violated
271,"[5, 11, 1, 18, 9, 19, 0, -4, 3, 6, -4, 17]","[17, 19, -4, 9, 5, 1, 6, -4, 0, 18, 11, 3]",6,18,Violated
272,"[-19, 6, 4, 11, 2, -17, 13, -12, -16, -1, 8]","[6, 11, 13, -1, -17, 4, -12, -16, 2, 8, -19]",26,78,Not-violated
273,"[-11, 3, 17, 4, -15, -7, 7]","[4, 17, 3, -15, -7, 7, -11]",105,315,Not-violated
274,"[-20, 3, -10, 8, -15, -4, 0, 9, 1, -9, 5]","[-9, -10, 0, 1, 3, 8, -20, -4, -15, 9, 5]",-25,-75,Violated
275,"[-6, -11, -6, -7, 15, 10]","[15, -11, -7, 10, -6, -6]",51,153,Not-violated
276,"[16, -20, 15, 13, 8, -11, -12, 9, -18]","[-20, 9, -11, 16, 15, 13, 8, -12, -18]",-6,-18,Violated
277,"[5, 13, -20, 5, 9, -5]","[-20, 9, 5, 5, -5, 13]",4,12,Violated
278,"[-19, -12, 19, -2, 3, -5, 8, -14]","[-19, -14, -5, -12, 8, 19, 3, -2]",18,54,Not-violated
279,"[-18, 6, -6, -4, 14, -7, 18, -2, -8, -6, 3, 0, 17, -7]","[-2, 3, -7, -18, 17, 18, 6, -4, -6, -8, 14, -6, 0, -7]",-53,-159,Not-violated
280,"[15, 17, 13]","[15, 13, 17]",12,36,Not-violated
281,"[-18, -12, 0, 0, 8, 5, 8, -12, 9, -13]","[8, -18, 8, 5, 9, 0, -12, -13, -12, 0]",51,153,Not-violated
282,"[6, -18, 5, 11, -15, -7]","[11, -7, -18, 6, -15, 5]",13,39,Violated
283,"[16, -3, 11, 11, 13, 8, 13, 4, -3]","[-3, 13, 13, 11, 11, 16, 4, -3, 8]",10,30,Violated
284,"[-13, 8, -19, -17, -20, 10]","[-19, -13, 8, 10, -20, -17]",-10,-30,Not-violated
285,"[10, -10, -20, -15, -5, 7, 13, -1, 2, 13]","[10, 13, -10, -20, 2, -5, 7, 13, -15, -1]",8,24,Not-violated
286,"[-12, 9, 2, 7, 13, 5, 5, 10, 15]","[13, 15, 2, 5, 5, -12, 10, 7, 9]",45,135,Not-violated
287,"[-19, 6, -16, -6, -14, 15, -10, 2]","[15, -16, -10, 2, -14, 6, -19, -6]",5,15,Violated
288,"[9, -3, 3, 4, 14, 4, -13, -16, -16, -11, 0]","[4, 9, -16, 14, 0, -3, -11, 4, -16, -13, 3]",-70,-210,Violated
289,"[-15, 0, -1, 7]","[-1, 0, 7, -15]",1,3,Not-violated
290,"[11, 2, 6]","[2, 6, 11]",-24,-72,Not-violated
291,"[-3, 13, 7, -8, -10, -8, 11, -1, 16, 19, -6]","[-1, -8, 11, 19, 13, -10, -6, -8, 16, 7, -3]",-1,-3,Violated
292,"[6, -16, -1, -1, -6, 0]","[-16, 6, -1, 0, -1, -6]",17,51,Violated
293,"[-5, 18, 9, -15, 12, -12]","[9, -5, 18, 12, -15, -12]",16,48,Not-violated
294,"[5, 16, -5, 8, 19]","[5, 16, 8, -5, 19]",1,3,Violated
295,"[-4, -4, 2, -3, -7, -19, 14, 15]","[14, 2, -7, -4, 15, -4, -19, -3]",-9,-27,Violated
296,"[19, -19, 13, -8, -7, -14, 4, -17, 14]","[-17, 19, -19, -14, 14, -8, 13, 4, -7]",6,18,Violated
297,"[-6, 9, 18, 3, -1, 9, -20, 7, 10, -2, -8, 12, -16, -7]","[-20, -6, 7, 10, 12, -16, 18, -8, 3, -1, 9, -2, 9, -7]",-17,-51,Violated
298,"[-16, -11, 12, -15, 0, -4, -5, 10, 2, -5, -12, 15, -4]","[12, 10, -15, -5, -4, 15, -4, -12, -11, 0, -5, 2, -16]",17,51,Not-violated
299,"[-7, 12, 19, -9, -3, -9, 2, -18, -19, -16, -14, -19, 9]","[-18, -9, -7, -19, -19, 9, -9, 2, 12, -16, -14, -3, 19]",72,216,Not-violated
300,"[-19, -11, -14, 13, 10, -3]","[10, -19, -11, -14, -3, 13]",40,120,Not-violated
301,"[13, 11, -3, -16, 0, 14, 13, 6, 4, 4]","[11, 0, 13, -3, 4, 4, 13, 6, -16, 14]",-12,-36,Not-violated
302,"[-9, 13, -2, -16, -19, 2, 7, 3, -18, -4, 15]","[7, -18, 2, -4, 15, 3, 13, -2, -9, -16, -19]",32,96,Not-violated
303,"[15, 12, -16, 10, 17, 14, 1, -18, 5, 5, 9]","[15, 1, 12, 17, -18, 5, 14, 9, 10, 5, -16]",36,108,Not-violated
304,"[-17, 5, -18, 9, -15, 5, -10, 13, -16, -1, -18, 11, 17, 13]","[-16, -18, 17, 9, -17, 11, 13, -10, 13, 5, -1, 5, -18, -15]",-28,-84,Violated
305,"[4, 2, 0, -15, 4, -10, 3]","[4, 3, -15, 0, 2, -10, 4]",-62,-186,Violated
306,"[-18, 13, 8, 19, 18, -20, -16, -4, -5, 10, 6, -10, -3, -4]","[-16, -3, -5, 18, -20, -4, -10, 8, 10, -18, 13, 19, 6, -4]",-1,-3,Not-violated
307,"[-9, -5, -4, 18, 2, -14, -2, -10, 3, 5, -18]","[18, -14, -18, 3, -5, -10, -4, -2, -9, 5, 2]",-1,-3,Violated
308,"[11, 16, -4, -13, 11, 14, 1, 6, -17, 10, -10, -8, -17]","[-17, -8, 1, 11, 14, -17, -4, 16, 10, 6, -10, -13, 11]",-2,-6,Violated
309,"[-13, 2, 11, -19, 5, 0, -15, -17, 3, 14, 4, 19, -10]","[-19, 0, 3, 11, -13, -17, -10, -15, 2, 4, 5, 14, 19]",30,90,Not-violated
310,"[-12, -8, 6, -9, -3, 6, 9, 9]","[6, 9, -9, -12, 6, 9, -3, -8]",19,57,Violated
311,"[-6, 16, -5, -1, 5, 13, 9, 0, -1, 1, -20, -17]","[1, 9, -1, 13, 5, 0, -20, -6, -1, 16, -17, -5]",5,15,Not-violated
312,"[-5, -8, 5, 14, 14, -5, -18, 5, 2, -10]","[14, -8, 14, 5, -5, 2, -5, -10, 5, -18]",25,75,Violated
313,"[-9, 15, -15, -10, -7, -13, -18, -15, 3]","[-7, 15, -18, -9, -15, -15, -10, -13, 3]",-28,-84,Violated
314,"[-2, -7, -12, 4, -2, -2, 16, -2, 11, -2, 4, -7, 12, -13]","[-13, -7, 4, -2, 12, 4, 11, -2, 16, -2, -2, -7, -12, -2]",4,12,Not-violated
315,"[-6, -1, 17, 3, 9, 11, 13, -1, -3, -5, -16, -14]","[-5, 13, -16, 17, -3, 11, 9, 3, -6, -1, -14, -1]",43,129,Not-violated
316,"[-4, -20, -8, 16, 8, -6, 7, 14, 0, -5]","[7, -8, -6, -4, 16, 0, -20, 8, -5, 14]",-34,-102,Not-violated
317,"[7, -19, -3, 11, 5, -4, -6, 17, 9, 9]","[-19, -3, -4, 9, 17, 9, 11, -6, 7, 5]",22,66,Not-violated
318,"[-17, 2, 3, -17, 5, -14, -18]","[3, 2, -14, -18, 5, -17, -17]",-51,-153,Violated
319,"[-13, 5, -1, -20, 16, 7]","[7, -20, -1, 16, 5, -13]",10,30,Not-violated
320,"[-6, -18, 10, 12, -17, -12, 5, -12, -2, 15, 11, 5]","[11, -17, 10, 15, -2, -12, 5, 5, -12, -18, 12, -6]",45,135,Not-violated
321,"[-15, -15, 0, -8, 17, 2, -17, 14, 18, -4, -6, 2, 3, 4]","[4, -17, 17, -15, 18, 0, 3, 2, 2, -15, -4, 14, -6, -8]",-14,-42,Not-violated
322,"[-20, 6, -2, 10, -11, -10, -9]","[-9, -2, -10, -11, 6, -20, 10]",10,30,Not-violated
323,"[12, 14, -3, -19, -14]","[-14, -3, -19, 14, 12]",31,93,Not-violated
324,"[-1, 13, -11, -5, 19, 2, -17, -5, -20, -9, -11, 8, -3, -3]","[-11, -17, 2, -3, -1, -5, -20, -11, -9, 19, 13, -5, -3, 8]",-29,-87,Violated
325,"[9, 4, -3]","[9, 4, -3]",18,54,Not-violated
326,"[2, -19, 5, -9]","[-19, 5, 2, -9]",1,3,Not-violated
327,"[-13, -17, -14, 16, 19, -19, 11, -9]","[-19, -9, 11, -14, -13, 16, 19, -17]",5,15,Violated
328,"[-6, 6, -11, -2, -13, 17, 4, 2, 0, -5]","[6, -11, 2, -13, 0, -5, 4, 17, -6, -2]",7,21,Not-violated
329,"[2, 0, -16, -5, 12]","[12, -16, 0, -5, 2]",-23,-69,Violated
330,"[-1, -6, -6, -13, -6, -18]","[-6, -1, -6, -13, -6, -18]",16,48,Not-violated
331,"[18, 1, -1, 3, -5, 1]","[-1, -5, 3, 1, 1, 18]",34,102,Violated
332,"[8, 3, -9, 3, -13]","[3, -13, -9, 3, 8]",-38,-114,Violated
333,"[10, 16, 8, 11, 14]","[14, 10, 8, 11, 16]",-46,-138,Violated
334,"[1, -17, -11, -8, -14, 0, 18, 11, 5, -1, 16, 15, -8, 2]","[18, 11, -8, 0, -17, -11, -1, 15, 5, 1, 2, -14, 16, -8]",0,0,Violated
335,"[-3, -4, 15, -17, -13, 14, -5, 19, 16, 5]","[19, 15, -17, -13, -4, -3, 14, -5, 16, 5]",20,60,Not-violated
336,"[-14, 14, -19, -13, -3, 16, 5]","[-3, -13, -14, 16, -19, 5, 14]",9,27,Not-violated
337,"[16, -17, 2, 1, -13, -7, 2, 16, -18, 12, 12, 17]","[16, 16, 2, 17, -13, -7, 2, -18, 1, 12, -17, 12]",45,135,Violated
338,"[6, -7, -20, 2, 6, -10, 7, 3, -15]","[-20, 6, 3, 7, -10, -15, 6, -7, 2]",-22,-66,Violated
339,"[11, 14, -17, 1, -18, -2, 10, 8, -4]","[11, 8, 1, 10, -2, 14, -17, -18, -4]",-20,-60,Violated
340,"[16, 15, 14, 19, 17, 0, 4, -16, 14, -16, 10, 4, 0, -10]","[4, 19, 0, -16, 10, -16, 17, 14, -10, 15, 0, 14, 4, 16]",3,9,Violated
341,"[14, -13, 17, -8, 9, 8, -4, 10, -18, -5, -14, -17]","[17, -17, 8, -18, -13, -5, 14, 9, -14, 10, -8, -4]",-28,-84,Violated
342,"[-19, 3, 5, 6, -8]","[-8, 6, -19, 3, 5]",-4,-12,Not-violated
343,"[14, -12, -18, -9, -19]","[-19, -9, -18, -12, 14]",13,39,Not-violated
344,"[-15, -7, 0, -14, -8, 5, 10, 16]","[16, -8, 10, 0, -15, -14, 5, -7]",-20,-60,Violated
345,"[9, -4, -11, -8, 19, 17, 5, -2, 12, -17]","[9, -11, -8, -17, -2, 12, 5, 17, 19, -4]",-12,-36,Violated
346,"[-1, 16, 10, 9, -13, -20, -6, -6]","[-6, 10, 16, -20, -6, 9, -13, -1]",-20,-60,Not-violated
347,"[-15, -17, -2, -4]","[-17, -2, -15, -4]",2,6,Violated
348,"[4, 18, 4, -20, -9, -18, 10, -20, 7, 4]","[7, -18, 10, 4, 18, 4, -20, 4, -9, -20]",23,69,Violated
349,"[5, 13, -20, -13, -10]","[-20, 13, -10, -13, 5]",29,87,Not-violated
350,"[6, 6, 10, 16, -12]","[6, 16, 10, -12, 6]",11,33,Not-violated
351,"[1, -17, 14, -6, -16, -10]","[14, -10, -16, 1, -6, -17]",21,63,Not-violated
352,"[7, 12, 2, -1, 9]","[12, 9, 2, -1, 7]",-3,-9,Violated
353,"[-15, 11, 2, 19, -5, -11, -3, 16, 12]","[19, 11, 2, -3, -15, 12, -11, 16, -5]",-43,-129,Violated
354,"[5, -20, 11, -18, -14, -17, 11]","[-17, -14, -18, 11, -20, 5, 11]",-70,-210,Violated
355,"[8, 15, 16, 19, -16, -5, -6, 2, -5, -19]","[-19, 16, 19, 2, 8, 15, -5, -6, -16, -5]",-16,-48,Not-violated
356,"[10, -7, -4, -19, -16, 7, 5, -4, -13, 15, -15, -2, 12, -12]","[-19, -15, -7, -4, 12, 10, -2, -13, 5, -4, -16, -12, 15, 7]",-34,-102,Violated
357,"[8, -7, 16, -3, -20, -3]","[-20, -3, 8, 16, -3, -7]",-4,-12,Violated
358,"[-7, 12, 2, 14, -6, -3]","[-3, -7, 14, 2, 12, -6]",43,129,Not-violated
359,"[7, -20, 9, 1, -6, -13, -15, 11, 4, -4, -18, -2, 9]","[1, -2, 4, -6, -4, 7, 9, -20, -13, 9, -15, 11, -18]",-6,-18,Not-violated
360,"[-6, 8, -10, 4, -15, -7, -8, -6, -14, -5, -15, 5, -9]","[-6, -10, -5, -8, -15, -7, -14, -15, -9, 4, -6, 8, 5]",38,114,Violated
361,"[15, 18, 4, -15, -9, -14, -15, -18, -14, 4, -15, -3, -19, -13]","[-13, -15, 15, -14, -9, 4, -18, -14, 18, -19, -15, 4, -3, -15]",-49,-147,Violated
362,"[15, -19, -8, 13, -17, -8, -2, -20, 3, 5, 11, -12]","[15, 5, -17, -20, 13, 11, -8, -12, 3, -2, -19, -8]",26,78,Not-violated
363,"[17, 10, 11, 5, 17, -7, 19, 1, 15, -8]","[-8, -7, 11, 19, 17, 17, 15, 10, 5, 1]",-18,-54,Violated
364,"[-19, 1, 15, -17, -17, 7, -15, 1, -12]","[1, -19, 7, -17, 1, -12, -17, -15, 15]",25,75,Not-violated
365,"[2, 15, -14, -11]","[2, -11, 15, -14]",-37,-111,Violated
366,"[-1, -18, -20, -6]","[-18, -6, -20, -1]",-37,-111,Violated
367,"[-14, 12, -9]","[-9, 12, -14]",-38,-114,Violated
368,"[10, 6, 5]","[6, 10, 5]",-15,-45,Not-violated
369,"[-14, 16, -2, -12, -12, 10, 16, 3]","[16, 3, -12, 16, -2, -14, 10, -12]",-7,-21,Violated
370,"[16, 16, 6, 9, -8, -7, -11, -19, 13, 15, 9, 9]","[9, 13, -8, 9, 16, -11, 9, 15, -19, -7, 16, 6]",-1,-3,Not-violated
371,"[1, -10, 15, 15, 17, -20, 19, 15, -5, -7, -15]","[17, -5, -10, 15, 1, 15, -20, 15, -7, 19, -15]",-16,-48,Not-violated
372,"[-2, -13, -7, -4, -8, -6, -3, 1, -11, -2, -8, -12, -3]","[-7, -12, -2, -8, -13, -3, -8, -3, 1, -11, -2, -4, -6]",-2,-6,Not-violated
373,"[8, 10, 13, -20]","[-20, 10, 13, 8]",-24,-72,Violated
374,"[-1, -19, -7, -16, -9, 17, 0, -5, -17, 11, -5, 5]","[-7, -1, -16, -17, 5, -5, -19, 0, -9, -5, 11, 17]",-39,-117,Not-violated
375,"[-5, 13, -15, 12, 17, -1, 13, 19]","[13, 19, 13, -5, 12, -15, -1, 17]",-17,-51,Violated
376,"[8, 2, -14]","[8, -14, 2]",-17,-51,Not-violated
377,"[-18, -20, -12, 18, -17, 6, -17, 13, 10, 13, 6, 9, 19, 11]","[9, 13, 10, 11, -18, 18, 6, 13, -12, -17, 6, -20, -17, 19]",36,108,Not-violated
378,"[6, 0, -19, -19, -11, 16, -8, 2, -1]","[6, 0, -8, -11, -19, 2, -19, 16, -1]",25,75,Violated
379,"[1, 6, -17, -8, 13, -8, 19, 9, 0]","[0, -8, 13, 9, -8, 1, 19, 6, -17]",18,54,Not-violated
380,"[-15, 4, -17, -10, -7, 16, 11, 0, -19, 17, 7, -6, 13, 4]","[11, 16, 4, -19, -15, 17, -6, -17, 7, -10, -7, 4, 13, 0]",34,102,Not-violated
381,"[8, 18, 4, -15, -5, -15, -15, 16, -14, 12, 2, 6, 9, -10]","[8, -5, -15, -15, 9, -14, 2, 12, 4, 6, -15, 16, -10, 18]",19,57,Violated
382,"[16, -5, 10, 2, -16, -19, -4, 9, 14, -6, 6, 2]","[14, 16, 6, -5, 2, -16, 10, -19, -4, -6, 9, 2]",-7,-21,Not-violated
383,"[13, -16, -6, -20, -4, 4, 4, -10]","[4, -20, -6, -10, -4, 4, 13, -16]",23,69,Not-violated
384,"[-12, 0, -9, -10]","[0, -10, -9, -12]",-41,-123,Not-violated
385,"[-13, -18, 11, 16, -9]","[-18, -13, -9, 11, 16]",-30,-90,Not-violated
386,"[12, -10, 7, -12]","[12, 7, -10, -12]",27,81,Violated
387,"[-16, 14, 0, -5]","[14, 0, -16, -5]",11,33,Not-violated
388,"[-2, -20, 12, 6, -15, 13, -10, -18, -9, -19, -18, -1, 13, 12]","[-18, -1, 12, -2, -19, 6, -15, -10, -20, -18, 12, 13, -9, 13]",-37,-111,Violated
389,"[16, -19, 19, -18, 12, -7, 4, -4, 7, 14, 12, 13, 17, 5]","[12, -19, 17, -18, -7, 13, 4, 12, 5, 14, 7, 19, -4, 16]",-38,-114,Not-violated
390,"[2, -5, 15, -19, -15]","[-5, -19, -15, 15, 2]",43,129,Violated
391,"[3, 7, -16, -2, -6, -15, 19, 11, 3, 4, 1, 17]","[19, 3, 11, 3, 17, 7, -16, -2, -15, 4, -6, 1]",-12,-36,Violated
392,"[11, 5, 12, -6, 5, -11, 3]","[5, 3, 11, 12, -11, 5, -6]",-32,-96,Violated
393,"[-3, -5, 18, -9, 16, -5, 6, 6, 13, 4]","[6, -3, 4, -9, 13, -5, 16, 6, -5, 18]",6,18,Not-violated
394,"[-8, 15, -2, -6, -4]","[-6, -8, -4, 15, -2]",-8,-24,Not-violated
395,"[-12, 11, -19, -3, -12, 15, -18, 16, -9, 3, -7, 7, -6]","[-6, 11, -19, 7, -12, 16, -12, 15, 3, -9, -3, -7, -18]",36,108,Violated
396,"[3, 7, 13, 17, 9, 12]","[9, 3, 13, 7, 12, 17]",-84,-252,Violated
397,"[3, -3, -10, -9, 18, 17, 7, 17, 15, -10, 13, 7]","[17, 7, 7, -10, 15, 3, -10, 18, 13, -9, 17, -3]",-87,-261,Not-violated
398,"[-13, 2, -8, -18, 2, 11, -1]","[2, 2, -18, -8, 11, -1, -13]",-41,-123,Violated
399,"[17, -15, 6, -5]","[-15, 6, 17, -5]",-32,-96,Not-violated
400,"[1, -7, 14, -11, 18]","[1, 18, -11, -7, 14]",-11,-33,Violated
401,"[6, 4, 3, -1]","[3, 6, 4, -1]",-28,-84,Not-violated
402,"[-5, 9, -7, 11, -8, -18, 3, -4]","[11, -18, 9, -5, -4, 3, -8, -7]",4,12,Not-violated
403,"[18, 6, -15, -20, 18, -15, -18, 9, -20, 5, -12, 15]","[18, 9, 15, -18, 5, -15, -12, -15, 6, 18, -20, -20]",-24,-72,Violated
404,"[9, 1, 19, 10]","[10, 19, 1, 9]",-40,-120,Not-violated
405,"[0, -2, 3, -10, 5, -19, 4, -2, -18, -4, 6, 7, -11]","[-2, 7, -11, 3, 5, -19, 4, -2, -18, -4, 0, -10, 6]",-40,-120,Not-violated
406,"[-6, 9, 17, -18, -1, -13, 5]","[-6, -18, 9, 17, -13, 5, -1]",-27,-81,Violated
407,"[-5, -15, -15, 8, 18, 0, -18, 5]","[-5, 18, -15, -15, 5, 8, -18, 0]",-10,-30,Not-violated
408,"[2, -14, 3, -12, 9, -6, 1, -15, 9, 15, -7, -16]","[9, -16, -14, 2, 1, -7, -15, 15, 9, 3, -6, -12]",3,9,Violated
409,"[-18, -5, 14, -3, -3, 13, 14, -10, -18]","[-18, -18, -3, 13, -5, 14, 14, -10, -3]",-52,-156,Not-violated
410,"[19, 13, -14, 8, -9]","[-9, 13, 8, 19, -14]",-45,-135,Violated
411,"[18, 9, 8, -19, -14, -14, -15, -13, -17, -2, 19, -11]","[18, -14, -13, 19, -17, -2, -14, 9, -15, 8, -11, -19]",-52,-156,Violated
412,"[-19, 17, 19]","[-19, 19, 17]",64,192,Not-violated
413,"[-13, 1, -2, -6, 6, -2, 19, -13, -3, -20]","[1, -13, 6, -2, -20, 19, -6, -13, -3, -2]",-1,-3,Violated
414,"[15, 15, 6, 13, -20, -1, -18, -10, -16, 18]","[-10, 6, 13, -18, -16, 15, 15, -20, 18, -1]",21,63,Violated
415,"[-15, 11, -2, -10, -12, -19, -17, -15, -9, 16, 4, -5]","[-9, -5, 4, -12, -15, -19, -2, 11, -17, 16, -15, -10]",23,69,Not-violated
416,"[1, 9, -8, 3]","[9, 1, 3, -8]",-36,-108,Violated
417,"[19, -12, 4, -5, -6, -15, -11, -13, 15, 15, 9, 0, -17, 2]","[9, -12, 15, -17, 19, 4, -13, -5, -15, -6, -11, 15, 2, 0]",-31,-93,Violated
